DOI,Status,Comment,Path,Size (KB),Duration (s),HTTP Status
10.1111/1750-3841.16467,Success,,wiley_downloads\10.1111-1750-3841.16467.pdf,1258,2.4,200
10.1111/j.1750-3841.2006.00156.x,Success,,wiley_downloads\10.1111-j.1750-3841.2006.00156.x.pdf,127,1.1,200
10.1111/jfpp.12507,Success,,wiley_downloads\10.1111-jfpp.12507.pdf,511,0.9,200
10.1002/fsn3.4511,Success,,wiley_downloads\10.1002-fsn3.4511.pdf,1410,1.1,200
10.1111/jfpp.12488,Success,,wiley_downloads\10.1111-jfpp.12488.pdf,381,1.1,200
10.1111/ijfs.16923,Success,,wiley_downloads\10.1111-ijfs.16923.pdf,1066,1.5,200
10.1002/jsfa.12702,Success,,wiley_downloads\10.1002-jsfa.12702.pdf,1685,2.3,200
10.1111/jfpe.70538,Success,,wiley_downloads\10.1111-jfpe.70538.pdf,1418,1.8,200
10.1002/leg3.70032,Success,,wiley_downloads\10.1002-leg3.70032.pdf,445,1.1,200
10.1002/cche.10383,Success,,wiley_downloads\10.1002-cche.10383.pdf,668,1.2,200
10.1002/leg3.70005,Success,,wiley_downloads\10.1002-leg3.70005.pdf,850,2.0,200
10.1002/food.200390094,Success,,wiley_downloads\10.1002-food.200390094.pdf,882,1.1,200
10.1111/j.1365-2621.1983.tb14882.x,Access Denied,TDM access denied from IP 129.130.19.243. Try manually: https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2621.1983.tb14882.x,,,0.4,403
10.1111/ijfs.13458,Success,,wiley_downloads\10.1111-ijfs.13458.pdf,391,2.7,200
10.1111/ijfs.15446,Success,,wiley_downloads\10.1111-ijfs.15446.pdf,4391,3.9,200
10.1111/j.1365-2621.2002.tb10299.x,Success,,wiley_downloads\10.1111-j.1365-2621.2002.tb10299.x.pdf,170,29.2,200
10.1111/ijfs.13271,Success,,wiley_downloads\10.1111-ijfs.13271.pdf,535,1.1,200
10.1111/j.1365-2621.1986.tb13096.x,Access Denied,TDM access denied from IP 129.130.19.243. Try manually: https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2621.1986.tb13096.x,,,0.4,403
10.1111/1750-3841.16794,Success,,wiley_downloads\10.1111-1750-3841.16794.pdf,1633,1.8,200
10.1002/jsfa.70829,Success,,wiley_downloads\10.1002-jsfa.70829.pdf,2933,3.5,200
10.1111/ijfs.14969,Success,,wiley_downloads\10.1111-ijfs.14969.pdf,783,1.3,200
10.1111/ijfs.17244,Success,,wiley_downloads\10.1111-ijfs.17244.pdf,904,2.9,200
10.1111/ijfs.13990,Success,,wiley_downloads\10.1111-ijfs.13990.pdf,1906,2.1,200
10.1002/jsfa.2334,Success,,wiley_downloads\10.1002-jsfa.2334.pdf,103,0.9,200
10.1002/cche.10589,Success,,wiley_downloads\10.1002-cche.10589.pdf,1953,2.4,200
10.1111/jfpe.14243,Success,,wiley_downloads\10.1111-jfpe.14243.pdf,2759,2.1,200
10.1111/jfpe.14578,Success,,wiley_downloads\10.1111-jfpe.14578.pdf,2247,3.0,200
10.1111/ijfs.17596,Success,,wiley_downloads\10.1111-ijfs.17596.pdf,2026,1.4,200
10.1111/ijfs.15831,Success,,wiley_downloads\10.1111-ijfs.15831.pdf,1985,3.4,200
10.1111/1750-3841.14770,Success,,wiley_downloads\10.1111-1750-3841.14770.pdf,1752,1.3,200
10.1111/ijfs.17242,Success,,wiley_downloads\10.1111-ijfs.17242.pdf,1020,3.4,200
10.1111/jfpp.16764,Success,,wiley_downloads\10.1111-jfpp.16764.pdf,1388,1.3,200
10.1111/jfpp.13524,Success,,wiley_downloads\10.1111-jfpp.13524.pdf,668,4.1,200
10.1111/j.1365-2621.2005.tb09023.x,Success,,wiley_downloads\10.1111-j.1365-2621.2005.tb09023.x.pdf,270,0.9,200
10.1111/1750-3841.17607,Success,,wiley_downloads\10.1111-1750-3841.17607.pdf,1183,1.7,200
10.1002/jsfa.13233,Success,,wiley_downloads\10.1002-jsfa.13233.pdf,679,2.2,200
10.1002/(SICI)1521-3803(199808)42:03/04<245::AID-FOOD245>3.3.CO;2-Q,Unknown Doi,,,,0.3,404
10.1111/jfpp.16218,Success,,wiley_downloads\10.1111-jfpp.16218.pdf,652,1.5,200
