source_file,output_file,doi
10-1002_cche-10383.pdf,10-1002_cche-10383.txt,
10-1002_cche-10589.pdf,10-1002_cche-10589.txt,
10-1002_food-200390094.pdf,10-1002_food-200390094.txt,
10-1002_fsn3-4511.pdf,10-1002_fsn3-4511.txt,
10-1002_jsfa-12702.pdf,10-1002_jsfa-12702.txt,
10-1002_jsfa-13233.pdf,10-1002_jsfa-13233.txt,
10-1002_jsfa-2334.pdf,10-1002_jsfa-2334.txt,
10-1002_jsfa-70829.pdf,10-1002_jsfa-70829.txt,
10-1002_leg3-70005.pdf,10-1002_leg3-70005.txt,
10-1002_leg3-70032.pdf,10-1002_leg3-70032.txt,
10-1007_s00217-026-05065-0.pdf,10-1007_s00217-026-05065-0.txt,
10-1007_s11694-013-9168-x.pdf,10-1007_s11694-013-9168-x.txt,
10-1007_s11694-015-9255-2.pdf,10-1007_s11694-015-9255-2.txt,
10-1007_s11694-023-01889-6.pdf,10-1007_s11694-023-01889-6.txt,
10-1007_s11947-016-1818-7.pdf,10-1007_s11947-016-1818-7.txt,
10-1007_s11947-019-02386-9.pdf,10-1007_s11947-019-02386-9.txt,
10-1007_s11947-026-04324-y.pdf,10-1007_s11947-026-04324-y.txt,
10-1007_s13197-014-1681-3.pdf,10-1007_s13197-014-1681-3.txt,
10-1007_s13197-015-1758-7.pdf,10-1007_s13197-015-1758-7.txt,
10-1007_s13197-019-03785-8.pdf,10-1007_s13197-019-03785-8.txt,
10-1007_s13197-020-04241-8.pdf,10-1007_s13197-020-04241-8.txt,
10-1021_acsomega-2c06912.pdf,10-1021_acsomega-2c06912.txt,
10-1021_jf00112a030.pdf,10-1021_jf00112a030.txt,
10-1021_jf049583c.pdf,10-1021_jf049583c.txt,
10-1038_s41598-026-35526-1.pdf,10-1038_s41598-026-35526-1.txt,
10-1080_19476337-2017-1301554.pdf,10-1080_19476337-2017-1301554.txt,10.1080/19476337.2017.1301554
10-1111_1750-3841-14770.pdf,10-1111_1750-3841-14770.txt,
10-1111_1750-3841-16467.pdf,10-1111_1750-3841-16467.txt,
10-1111_1750-3841-16794.pdf,10-1111_1750-3841-16794.txt,
10-1111_1750-3841-17607.pdf,10-1111_1750-3841-17607.txt,
10-1111_ijfs-13271.pdf,10-1111_ijfs-13271.txt,
10-1111_ijfs-13458.pdf,10-1111_ijfs-13458.txt,
10-1111_ijfs-13990.pdf,10-1111_ijfs-13990.txt,
10-1111_ijfs-14969.pdf,10-1111_ijfs-14969.txt,
10-1111_ijfs-15446.pdf,10-1111_ijfs-15446.txt,
10-1111_ijfs-15831.pdf,10-1111_ijfs-15831.txt,
10-1111_ijfs-16923.pdf,10-1111_ijfs-16923.txt,
10-1111_ijfs-17242.pdf,10-1111_ijfs-17242.txt,
10-1111_ijfs-17244.pdf,10-1111_ijfs-17244.txt,
10-1111_ijfs-17596.pdf,10-1111_ijfs-17596.txt,
10-1111_j-1365-2621-2002-tb10299-x.pdf,10-1111_j-1365-2621-2002-tb10299-x.txt,
10-1111_j-1365-2621-2005-tb09023-x.pdf,10-1111_j-1365-2621-2005-tb09023-x.txt,
10-1111_j-1750-3841-2006-00156-x.pdf,10-1111_j-1750-3841-2006-00156-x.txt,
10-1111_jfpe-14243.pdf,10-1111_jfpe-14243.txt,
10-1111_jfpe-14578.pdf,10-1111_jfpe-14578.txt,
10-1111_jfpe-70538.pdf,10-1111_jfpe-70538.txt,
10-1111_jfpp-12488.pdf,10-1111_jfpp-12488.txt,10.1111/jfpp.12488
10-1111_jfpp-12507.pdf,10-1111_jfpp-12507.txt,10.1111/jfpp.12507
