name,occurrence_count
HP-20 resin washing,13
Mung bean protein isolate extraction,7
NaCl extraction,2
Osborne extraction method,2
SP-207 resin washing,10
XAD-16N resin washing,14
acetic acid extraction,1
acetic acid or citric acid precipitation,4
acetic acid precipitation,21
acid extraction,26
acid extraction and ultrafiltration,1
acid precipitation,26
acid/alkaline extraction,9
acidic protein isolation,3
adsorbent resin washing,18
adsorption and dialysis,2
alcohol leaching,2
alcohol precipitation,5
alkali extraction,19
alkaline and salt extraction,11
alkaline extraction,81
alkaline extraction and acid precipitation,11
alkaline extraction with isoelectric precipitation,29
alkaline extraction with ultrasound treatment,18
alkaline hydrogen peroxide extraction,33
alkaline hydrogen peroxide extraction with ultrasound treatment,33
alkaline hydrogen peroxide-assisted extraction,5
alkaline protein isolation,8
alkaline solubilization,1
aqueous extraction,20
arabinofuranosidase-assisted alkaline extraction,7
cellulase and xylanase cocktail-assisted alkaline extraction,7
centrifugation conditions,2
citric acid precipitation,22
cold pressing,35
"combined alkaline extraction, ultrafiltration, diafiltration, and isoelectric precipitation",4
combined ultrasound-assisted and high-pressure-assisted extraction,1
conventional extraction,1
corn germ meal albumin protein extraction,1
de-oiling,2
defatting and protein isolation,6
defatting methods,2
defatting solvent extraction,1
deoiling,3
dialysis,1
different solvent extraction methods,1
dry fractionation,15
enzymatic extraction,15
ethanol dephenolization,4
ethanol extraction,1
extraction,2
extraction pH,4
extraction using high-pressure followed by ultrasound treatment,5
fractionation method,1
globulin extraction yield,2
globulin yield,1
hexane defatting,5
"hexane defatting, alkaline solubilization, and isoelectric precipitation",1
hexane deoiling,1
hexane extraction,13
high-pressure and ultrasound combination treatment,6
high-pressure-assisted alkaline extraction,8
high-pressure-assisted extraction,23
high-pressure-assisted extraction followed by ultrasound-assisted extraction,6
high-temperature oil extraction,3
higher-temperature protein isolation,1
hot pressing,23
isoelectric precipitation,36
isoelectric precipitation with alcohol precipitation,3
isolation temperature,4
isopropanol extraction,17
isopropyl alcohol defatting,3
lipid extraction procedure,1
low pH extraction,2
mechanical pressing,5
membrane filtration,10
membrane processing,1
mildly alkaline protein extraction,1
n-hexane defatting,3
non-thermal protein extraction techniques,3
nonconventional extraction approaches,7
oil extraction at high temperature,1
organic solvent extraction,3
pH adjustment during protein extraction,2
pH-shifting protein isolation,25
particle size fractionation,9
pea albumin incorporation using wet extraction,1
potassium hydroxide extraction,5
precipitation,3
precipitation with hydrochloric acid,1
precipitation with kosmotropic acids,1
precipitation with the acid used for quinoa protein isolate-C,1
pressing and solvent extraction,2
protein isolation,9
protein isolation conditions,18
protein isolation yield,1
protein precipitation,5
removal of starch granules from the protein matrix,1
removal of vicilin and small peptides,1
resin washing,2
resin-assisted purification,8
salt extraction,26
salt extraction with enhanced solvent extraction,1
salt solubilization-dialysis method,2
salting-out,1
salting-out effect,2
soaking-cooking,13
stepwise NaCl/potassium hydroxide extraction,1
stepwise water/potassium hydroxide extraction,1
strong acid and alkali extraction,2
subcritical butane defatting,3
subcritical butane extraction,17
suspension in water,2
temperature-controlled protein isolation,1
temperature-controlled protein solubilization,2
two-stage protein isolation process,4
ultrafiltration,35
ultrasonic and alkaline solution extraction,1
ultrasonic-assisted extraction,24
ultrasound extraction,10
ultrasound treatment during alkaline solubilization,1
ultrasound-assisted alkali extraction,12
ultrasound-assisted enzymatic extraction,10
ultrasound-assisted extraction,61
ultrasound-assisted extraction followed by high-pressure-assisted extraction,5
water extraction,8
wet extraction,2
wet milling,2
