name,occurrence_count
"2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) radical scavenging measurement",14
"2,2-diphenyl-1-picrylhydrazyl radical scavenging measurement",23
"2,2-diphenyl-1-picrylhydrazyl scavenging activity ED50",5
3D printing performance,1
Alcohol dehydrogenase activation activity,3
Gastrointestinal digestibility,3
Technique for Order Preference by Similarity to Ideal Solution closeness coefficient,1
U-shaped solubility profile,1
acid stability,1
acid-induced gel structuring ability,1
alcohol production,3
alcohol yield,2
amino acid digestion,1
amino acid score,10
angiotensin I converting enzyme inhibition,1
anti-lipid oxidation ability,4
antimicrobial activity against Staphylococcus aureus,2
antioxidant activity,14
antioxidant properties,3
aqueous solubility,2
bake loss,2
binding to water molecules,1
bioactive properties,1
breaking force,16
brittle gel network,1
cake volume,1
calcium absorption,1
calcium bioaccessibility,2
calcium bioavailability,2
calcium retention,1
calcium tolerance,2
calcium-binding ability,1
calcium-binding affinity,1
catalytic efficiency,1
"cohesive, elastic gel network formation",2
"compact, dense elastic network structure",1
complex protein acid gel microstructures,1
complex viscosity,3
composite gel formation,4
conjugation and Schiff's base formation,1
controlled release,1
cooking loss,5
correlation between emulsifying capacity and interface properties,1
correlation between foaming capacity and surface hydrophobicity,1
correlation between interfacial tension reducing ability and surface hydrophobicity,1
correlation between solubility and L/V ratio,1
correlation between solubility and emulsifying activity index,1
correlation between solubility and emulsifying capacity,1
correlation between solubility and foaming capacity,1
correlation between solubility and oil-holding capacity,1
correlation between solubility and water-holding capacity,1
cream destabilisation percentage,1
creaming index,7
creaming layer height,1
creaming stability,1
decay percentage,1
deformation resilience,1
dense elastic gel network structure,1
dense gel network structure,6
denser and more uniform gel network structure,1
denser protein gel network,2
digestibility,3
digestive properties,1
dispersibility,16
dispersion properties,1
distinct structural and functional attributes,1
drip loss,1
elastic moduli,1
elastic modulus,10
elastic modulus (G0),1
elastic modulus G′,6
elastic properties,1
emulsification,6
emulsification activity,279
emulsification characteristics,1
emulsification properties,57
emulsification stability index,171
emulsifying activity index,217
emulsifying activity/capacity,1
emulsifying index,1
emulsifying performance,1
emulsifying potential,1
emulsion activity,18
emulsion activity index,3
emulsion capacity,25
emulsion formation,3
emulsion properties,2
emulsion separation rate,3
emulsion stability,156
encapsulation efficiency,1
environmental impact,1
extraction efficiency,15
extraction rate,3
extraction yield,28
fat absorption,1
fat absorption capacity,2
fat-binding capacity,4
fat-holding capacity,1
ferric reducing antioxidant power,3
ferrous ion chelating ability,1
final storage modulus,3
firm gel formation,8
flow point stress,1
foam density,5
foam formation,1
foam formation capacity,4
foam half-life,1
foam overrun,2
foam stability,177
foam standing time,4
foam volume,1
foam-forming ability,10
foamability,3
foaming,2
foaming capacity,364
foaming performance,1
foaming properties,38
foaming stability,91
foaming stability index,3
foaming time,1
forming properties,1
free radical scavenging rate,1
frequency dependency,1
friction,3
friction coefficient,3
functional characteristics,1
functional properties,25
functionality,1
fungal growth,1
gel ability,2
gel elasticity,11
gel extensibility,1
gel firmness,6
gel formation,18
gel formation capacity,1
gel formation with self-supporting properties,6
gel hardness,27
gel integrity,1
gel lubrication,2
gel network deterioration,1
gel network formation,5
gel network strength,1
gel properties,17
gel recovery rate,1
gel rigidity,2
gel stiffness (G′1 rad/s),7
gel strength,59
gel strength (G′1 rad/s),2
gel strength and elasticity,1
gel strength and yield strain,1
gel structure,1
gel-forming ability,12
gel-like characteristics,2
gel-like structures,1
gel-like texture,1
gelation,50
gelation ability,3
gelation behavior,1
gelation capacity,13
gelation concentration,89
gelation lag phase,1
gelation property,37
gelation rate,1
gelation tendency,1
gelation time,5
gelling,1
gelling property,4
germination index,1
germination rate,2
heart and liver steatosis and inflammatory injury,1
heat induced gel property,1
heat-induced gelation capacity,1
hydration characteristics,1
hydration properties,2
hydroxyl radical scavenging ability,7
hydroxyl radical scavenging clearance,1
immunological reactivity of Lup an 1,1
in vitro digestibility,2
in vitro digestibility in the gastrointestinal tract,5
in vitro intestinal digestibility,3
in vitro protein digestibility,28
inhibition zone against E. coli,1
inhibition zone against S. aureus,1
interfacial adsorption,1
interfacial elasticity,1
interfacial flexibility,1
interfacial functionality,1
interfacial properties,2
interfacial reactivity,1
interfacial stability,2
interfacial tension,9
interfacial tension reduction ability,3
least gel concentration,4
least gelling concentration,3
lipoxygenase activity,6
lipoxygenase residual activity,1
low emulsifying activity index,1
low solubility,1
lysine as the limiting essential amino acid,1
maximal gelation rate,2
mechanical properties,5
metal chelating capacity,2
microbial count,1
microbial growth,1
minimum gelling concentration,9
modulus,1
more stable gel network structure,1
nitrogen solubility,13
nitrogen solubility index,8
nutritional quality,1
oil absorption,1
oil absorption capacity,33
oil adsorption capacity,2
oil binding capacity,21
oil extraction yield,3
oil holding capacity,336
oil retention,1
oil retention capacity,2
oil-in-water emulsion formation,4
oil–water retention,1
onset gelling temperature,1
other,3
overall solubility,4
oxidation resistance,1
oxidative stability,1
physiological activity,2
positive correlation between foaming capacity and zeta potential at pH 7,1
potential to promote alcohol metabolism,1
powder solubility,2
predicted protein efficiency ratio,1
printing adaptability,1
product recovery,1
prolamin film formation,3
protein aggregation and percolated protein network formation,1
protein digestibility,6
protein dispersibility index,2
protein dispersion stability,1
protein gelation,1
protein in-vitro digestibility,1
protein isolate properties,1
protein production,2
protein saturation at the air-water interface,1
protein solubility,116
protein-oil interactions,1
protein-water interactions,4
quality,1
quality attributes,1
recovery rate,3
recovery yield,1
rehydration rate parameter B,6
relationship between carbohydrate content and protein extraction yield,1
riboflavin encapsulation rate,1
riboflavin release,5
riboflavin retention,4
rupture distance,2
rupture strength,2
rupture stress,1
self-supporting composite gel formation,1
self-supportive gel formation,2
"serum alkaline phosphatase, alanine aminotransferase, blood urea nitrogen, glucose, and total protein levels",1
shelf life,1
sinapine and glucosinolate removal efficiency,1
sodium cholate binding capacity,1
sol to gel transition,2
solid-like gels,1
solid-state gel formation,1
solubility,690
solubility after heat treatment,1
solubility index,3
soluble protein content,10
spontaneous gelation,2
stable and ordered gel network structures,1
stable co-dispersions,1
stable dispersion,1
stable dispersions,1
stable reticular structure,1
storage time,2
stronger gel network,1
surface activity,7
surface dispersibility,2
surface elasticity,2
surface tension,15
swelling capacity,4
swelling index,2
swelling ratio,2
syneresis,10
system stability,2
techno-functional properties,2
techno-functionality,4
total apparent viscosity shift,2
trypsin inhibition,1
trypsin inhibitor activity,3
trypsin susceptibility,3
tunable mechanical properties,1
viscoelastic moduli frequency dependence,1
viscoelasticity,4
volume of drained liquid,4
water absorption,3
water absorption capacity,57
water absorption index,3
water binding,1
water holding capacity,612
water holding capacity of the insoluble fraction,5
water hydration capacity,6
water imbibition capacity,9
water interactions,1
water loss rate,1
water retention,2
water retention capacity,1
water solubility,14
water solubility index,34
water vapor permeability,1
water-binding capacity,10
