name,occurrence_count
(α and α′)-lacking soy protein isolate,4
11S globulin,1
2-undecanone,3
20% (w/w) quinoa protein isolate gel,2
5-day-germinated hemp seed protein isolate (isoelectric precipitation),5
5-day-germinated hemp seed protein isolate with ultrafiltration and structural content analysis,10
African locust bean protein isolate,2
Aleppo pine seed protein concentrate,6
Arthrospira (Spirulina) platensis protein isolate,1
Asmara vegetable soybean variety,1
Azkan and Erzincan chickpea protein isolates,3
Azkan chickpea flour,1
Azkan chickpea protein isolate,3
Black chickpea protein isolate,14
Brazil nut full fat seed flour,1
Brewers’ spent grain protein isolate dispersions,2
CO2-deoiled lupin,2
CO2-deoiled lupin and its protein isolates,1
Catechin,2
Chimonobambusa quadrangularis protein isolate,2
Chimonobambusa quadrangularis shoot,1
Chinese jujube seed protein concentrate,13
Chinese quince protein isolate,37
Chryseobacterium proteolyticum protein glutaminase,8
Chryseobacterium sediminis protein glutaminase,9
Chymotrypsin-extruded corn gluten meal,1
Colorado cowpea flour,2
Cornell breeding line,1
Cornell breeding line hemp protein isolate,1
Cornell hemp breeding line,2
Cuarenton cowpea flour,1
Cyperus esculentus protein hydrolysates,2
"Cyperus esculentus protein, wheat gluten protein, and flaxseed protein",1
DWalPI (WalPI sample; full preparation not specified),2
Dendrocalamus latiflorus Munro bamboo shoot protein isolate,3
Dendrocalamus latiflorus protein isolate,7
Erzincan chickpea protein isolate,7
"Erzincan, Hisar, and Azkan chickpea protein isolates",1
Fabelle,1
Fabelle faba bean cultivar,5
Fabelle faba bean protein isolate,2
Ficus awkeotsang Makino pectin,46
Flaxseed protein enzyme hydrolysates,1
GABA,26
GL enzyme treatment,1
"GL, Protein glutaminase, and Papain enzymes",1
GL-mediated deamidation,1
Glandless cottonseed meal protein,15
H. elongata protein concentrate,6
H. elongata protein dispersion,1
H. elongata protein extract,3
HP-20 resin,1
Himanthalia elongata protein extract,9
Hisar and Erzincan chickpea protein isolates,1
Hisar chickpea protein isolate,10
Hofmeister anion type,2
Hofmeister-series anions,2
Isoelectric focus buffer (IEF) buffer with bond-breaking reagents,2
Japonica rice bran protein,4
Macauba Kernel Protein Isolate,22
Malik,1
Malik faba bean cultivar,5
Malik faba bean protein isolate,3
Mung bean protein isolate,24
NaCas,3
NaCl,15
Oligostachyum sulcatum protein isolate,1
Owens vegetable soybean variety,6
PWalPI (WalPI sample; full preparation not specified),4
Pea protein isolate and Ficus awkeotsang Makino pectin composite formulation,7
Pea protein isolate-Ficus awkeotsang Makino pectin composite gel,2
Phyllostachys edulis Winter Protein Isolate and Phyllostachys edulis Spring Protein Isolate bamboo shoot protein isolates,1
Phyllostachys edulis Winter Protein Isolate bamboo shoot protein isolate,2
Phyllostachys edulis spring shoot,2
Phyllostachys edulis spring shoot protein isolate,6
Phyllostachys edulis winter shoot,1
Phyllostachys edulis winter shoot protein isolate,4
Phyllostachys praecox protein isolate,2
Pinus halepensis protein concentrate,10
SPI and Wheat gluten protein enzyme hydrolysates,2
San Francisco cowpea flour,1
Snowbird faba bean cultivar,14
Snowbird faba bean protein isolate,3
Soy protein isolates-Walnut protein co-assembly,10
Torreya grandis nuts protein,1
UWalPI (WalPI sample; full preparation not specified),2
XAD-16N and SP-207 resins,1
XAD-16N resin,13
Yasa chickpea protein isolate,8
acetylated bambarra groundnut protein concentrate,2
acetylated potato protein concentrate,1
acetylated potato protein isolate,1
acid precipitated soy isolate,6
acid soluble protein concentrate,9
acid-soluble pinto bean protein concentrate,2
acid-soluble pinto bean protein isolate fraction,1
acids/esters,2
adsorbent resins,1
air-classified pea protein concentrate,1
albumin,20
albumin proportion,2
albumin protein fraction,17
alfalfa leaf protein concentrate,6
alkali solution with isoelectric precipitation peanut protein concentrate,6
alkaline extraction without ultrasound,1
almond flour,2
almond full fat seed flour,1
almond protein,8
aqueous extraction and mechanical pressing,1
artificial neural network model,1
bambarra groundnut protein concentrate,6
bamboo shoot protein isolate,17
bamboo shoot protein isolate from Chimonobambusa quadrangularis bamboo species,1
bamboo shoot protein isolate from Dendrocalamus latiflorus bamboo species,4
bamboo shoot protein isolate from Phyllostachys edulis Winter bamboo species,2
bamboo shoot protein isolate from Phyllostachys praecox species,21
bamboo shoot species and harvesting season,1
black gram full fat seed flour,1
black protein concentrate,1
blackberry seed albumin,5
blackberry seed globulin,2
blackberry seed glutelin,5
blackberry seed prolamin,4
blackberry seed protein,8
brewer's spent grain protein isolate,1
brewers' spent grain protein isolate acid gels,1
broad bean protein isolate,3
butylated hydroxytoluene,3
cake containing whole egg powder,1
calcium cations,6
camelina protein concentrates,1
camelina protein isolate,4
canola protein ingredient,1
canola protein isolate,2
carbon dioxide deoiling,1
carbon dioxide-deoiled lupin protein isolate,3
carob bean protein,3
