name,occurrence_count
1.5 M urea addition,2
13-13-hydroperoxyoctadecadienoic acid modification,32
13-13-hydroperoxyoctadecadienoic acid oxidation,17
"2,2'-azobis(2-amidinopropane) dihydrochloride oxidation",17
2-mercaptoethanol treatment,1
250 mM dithiothreitol addition,1
8 M urea addition,3
8 M urea and 250 mM dithiothreitol addition,2
Alcalase hydrolysis,45
Alcalase hydrolysis and Lactobacillus amylolyticus fermentation,1
Alcalase hydrolysis and Lactobacillus helveticus fermentation,1
Alcalase hydrolysis and Lactobacillus sakei ssp. carnosus fermentation,3
Alcalase hydrolysis and fermentation,1
Alcalase hydrolysis and transglutaminase conjugation,3
Alcalase hydrolysis and transglutaminase cross-linking,2
CaCl2 addition,7
Chryseobacterium sediminis-Protein glutaminase-mediated deamidation,44
Chymotrypsin enzyme,3
Chymotrypsin enzyme treatment,2
Chymotrypsin-mediated deamidation,1
DH30 soy peptide addition,9
DH90 soy peptide addition,8
Direct steam injection treatment,1
Ficus awkeotsang Makino pectin increase,8
Ficus awkeotsang Makino pectin-dominant continuous network,1
GABA addition,26
H2O2 oxidation,7
HP-20 resin treatment,10
Hofmeister salt addition,7
Hofmeister salt concentration,1
Hofmeister salt treatment,2
KCl addition,26
KCl substitution,61
Maillard conjugation,3
Maillard glycosylation,35
Maillard reaction,12
MgCl2 addition,7
NaCl addition,62
NaCl concentration adjustment,6
NaCl replacement by KCl,6
Papain enzyme treatment,3
Papain hydrolysis and Lactobacillus amylolyticus fermentation,1
Papain-mediated deamidation,3
Pepsin hydrolysis and Lactobacillus helveticus fermentation,1
Pepsin hydrolysis and fermentation,1
Protamex hydrolysis,17
Refractance Window drying,23
SP-207 resin treatment,9
TGase cross-linking,6
Vacuum-cold plasma treatment,27
acetic acid treatment,1
acetylation,99
acetylation with acetic anhydride,4
acid-induced gelation,3
acidic and thermal gelation,1
acidic pH-shifting,9
acidification,32
acylation,32
acylation and guar gum conjugation,1
acylation with lauroyl chloride,14
addition of sericin,11
advanced stages of the Maillard reaction,1
air-fed cold plasma,12
alkaline pH-shifting,19
ammonia treatment,1
amorphization,1
amylase and cellulase treatment,2
amylase hydrolysis,1
arabinofuranosidase pretreatment,12
arabinofuranosidase treatment,5
artificial neural network-genetic algorithm optimization,2
atmospheric cold plasma treatment,42
atmospheric pressure cold plasma,10
autoclaving,23
ball milling,35
calcium cation addition,8
calcium chloride addition,13
calcium sulfate addition,17
calcium sulphate coagulation,1
calcium-induced gelation,37
calcium-mediated crosslinking,1
caramelization,1
cell wall destruction,1
cellulase and xylanase cocktail treatment,8
cellulase and xylanase pretreatment,13
cellulase-assisted enzymatic extraction,2
chemical denaturation,6
chemical modification,4
chemical phosphorylation,4
chemical phosphorylation with sodium trimetaphosphate,1
chymotrypsin hydrolysis,13
citric acid deamidation,1
cold plasma jet treatment,9
cold plasma processing,38
cold plasma treatment,209
controlled peptic hydrolysis,1
cooking,13
cooking process,48
cooling,6
covalent complexation,2
covalent complexation with catechin,8
covalent conjugation,1
covalent cross-linking,3
cross-linked Ficus awkeotsang Makino pectin chain network,1
cross-linking,3
cross-linking or structural changes,1
curdlan gum addition,2
deaggregation,1
deamidation,64
defatting procedure,1
defatting treatment,109
deflavouring,25
degree of deamidation,8
degree of phosphorylation,3
delta-gluconolactone induced acidification,4
dephenolization,5
dielectric barrier discharge plasma treatment,67
direct steam injection,35
direct steam injection processing with pH adjustment,6
dry heat pretreatment,15
dry heating,28
drying,10
dual-frequency ultrasonication,26
dual-frequency ultrasound treatment,3
dual-frequency ultrasound-assisted germination,11
electrochemical deamidation,32
electrochemical treatment deamidation,20
emulsion precipitation,1
enzymatic deamidation,35
enzymatic deamidation by Chymotrypsin,3
enzymatic deamidation by Papain,1
enzymatic hydrolysis,80
enzymatic hydrolysis and TGase cross-linking,1
enzymatic hydrolysis and fermentation,15
enzymatic hydrolysis and transglutaminase cross-linking,3
enzymatic hydrolysis and ultrasonication,20
enzymatic modification,1
enzymatic pretreatment,1
enzymatic treatment,2
enzyme hydrolysis and deactivation,1
excessive addition of sericin,2
fermentation,106
fermentation by A. oryzae,4
fermentation by Rhizopus sp.,14
fermentation with probiotics,3
fermentation with starter culture 1,7
fermentation with starter culture 2,10
flaxseed protein and guar gum composite coating,13
"flaxseed protein, glycerol, and guar gum dipping treatment",1
formaldehyde treatment,1
free radical oxidation,3
freeze drying,116
frying,1
fungal fermentation,2
gamma irradiation,51
gellan gum addition,15
germination,129
germination and ultrafiltration,7
glucono-δ-lactone acidification,5
glucono-δ-lactone addition,1
glutaminase treatment,1
glutelins' crosslinking capacity,2
glycosylation,53
glycosylation under wet-heating Maillard reaction conditions,2
glycosylation with glucose,2
glycosylation with lactose,1
grafting of carbohydrate oligomers to protein backbones,1
grinding,30
guar gum conjugation,9
guar gum-protein conjugation,10
heat and/or shear,1
heat treatment,144
heat treatment severity,1
heat treatment with glucose,2
heat treatment with lactose,2
heat treatment with sucrose,1
heated holding,1
heating,55
helium-fed cold plasma,8
high hydrostatic pressure,26
high hydrostatic pressure and heat treatment,3
high hydrostatic pressure treatment,249
high-intensity ultrasonication,113
high-intensity ultrasound treatment,12
high-moisture extrusion,1
high-pressure homogenization,153
high-pressure processing,10
high-pressure treatment,56
high-speed dispersion-assisted microfluidization with phosphorylation,22
high-voltage cold plasma treatment,7
hot air foam-mat drying,5
hydrocavitation,45
hydrogen peroxide soaking,1
hydrolysis,10
hydrolysis of omega-gliadins,1
hydrothermal treatment,30
incorporation in pea protein gels,3
instant controlled pressure drop technology,3
instant controlled pressure drop treatment,11
isothermal heating,54
konjac gum addition,3
lactic acid bacteria fermentation,18
lactic acid fermentation,10
light treatment,1
low ionic strength salt treatment,1
low-moisture extrusion,2
magnesium cation addition,8
malondialdehyde oxidation,14
metal cation addition,9
methylene dipropionate treatment,1
microfluidization,24
microfluidization and phosphorylation,2
microwave pretreatment,5
microwave treatment,76
microwave treatment and germination,2
microwave-assisted glycation,12
mild heating,10
mild to high-intensity heat treatment,1
mixed fermentation of Bacillus subtilis and Lactobacillus plantarum,10
mixed solid-state fermentation with Bacillus subtilis and Lactobacillus plantarum,9
nitrogen-fed cold plasma,7
non-thermal plasma treatment,11
non-thermal ultrasound and high-pressure treatments,3
ohmic heating,67
oxidation,13
"oxidation, cyclization, and formation of new cross-linking bonds",1
oxidative modifications,1
pH adjustment,255
pH adjustment and sodium chloride addition,5
"pH adjustment, sodium chloride concentration adjustment, and phosphate buffer molarity adjustment",1
pH shifting and heating treatments,23
pH shifting and ultrasonication,50
pH shifting treatment,184
pH shifting with protein-glutaminase deamidation,15
pH treatment,3
pancreatin hydrolysis,23
papain hydrolysis,34
particle size reduction,5
pea protein isolate-gellan gum complex formation,1
pectin addition,17
pepsin hydrolysis,56
pepsin-pancreatin digestion,1
pepsin-pancreatin hydrolysis,1
peptic hydrolysis,7
peptide addition,13
phosphate buffer addition,1
phosphate buffer molarity adjustment,2
phosphorylation,97
planetary-mixer whipping,2
plant cell wall disruption,1
plasma treatment,17
polysaccharide addition,9
polysaccharide incorporation,3
potassium cation addition,5
potassium chloride addition,7
pre-heating,10
pre-heating and acidification,1
pre-heating and transglutaminase treatment,16
processing treatments,1
propionic acid treatment,1
protein blending,16
protein concentration,21
protein concentration adjustment,10
protein concentration increase,5
protein concentration process,6
protein glutaminase treatment,2
protein glutaminase-mediated deamidation,14
protein ingredient blending,5
protein isolate blending,10
protein modification,1
protein oxidation,1
protein-glutaminase deamidation,16
protein-polysaccharide conjugation,19
pulsed electric field pretreatment,36
quinoa processing,1
reducing conditions with 2-mercaptoethanol,1
reduction,1
response surface methodology model,1
response surface methodology optimization,1
response-surface optimization,2
roasting,9
salt addition,3
second heat treatment,4
seed storage protein degradation,4
selective enzymatic breakdown of polypeptides,1
sequential acylation and Maillard conjugation,4
sequential acylation and guar gum conjugation,2
sequential acylation and protein-polysaccharide conjugation,8
severe heat treatment,3
single-frequency ultrasonication,1
soaking,18
sodium cation addition,5
sodium chloride addition,10
sodium chloride concentration adjustment,2
sodium dodecyl sulfate denaturation,23
sodium sulfite denaturation,15
sodium tripolyphosphate phosphorylation,10
sodium tripolyphosphate-induced phosphorylation,10
soy peptide addition,8
soybean protein isolate pre-heating,3
soybean protein isolate pre-heating and transglutaminase cross-linking,4
spray drying,101
standing time,2
storage,4
succinylation,87
succinylation and ultrasonication,6
sucrose addition,23
sucrose concentration,2
sucrose supplementation,4
sulfur dioxide treatment,1
supercritical carbon dioxide extrusion,7
supercritical fluid extrusion process,17
surface sterilization with bleach,1
synchronized pH-shifting and ultrasound treatment,15
temperature increase,3
thermal aggregation,12
thermal and non-thermal treatments,1
thermal pre-treatment,4
thermal treatment,79
thermal treatment and calcium sulphate coagulation,2
transglutaminase conjugation,1
transglutaminase cross-linking,93
transglutaminase treatment,9
triple-frequency ultrasonication,1
trypsin and papain hydrolysis,4
trypsin hydrolysis,98
two-step enzymatic hydrolysis,16
two-step hydrolysis using papain and trypsin,17
ultra turrax shearing,1
ultrafiltration paired with germination,1
ultrasonic irradiation,2
ultrasonic treatment,2
ultrasonic-assisted Maillard conjugation,19
ultrasonication,359
ultrasonication and TGase cross-linking,8
ultrasonication and high-pressure treatment,21
ultrasonication and transglutaminase cross-linking,4
ultrasound,14
ultrasound treatment,6
ultrasound-assisted germination,7
ultrasound-assisted pH-shifting,7
ultraviolet radiation,62
ultraviolet treatment,1
urea denaturation,20
