name,occurrence_count
-S-S- content,1
1-hexanol content,1
1-hexanol level,1
11S/7S ratio,2
15–20 kDa protein,1
18 kDa subunit abundance,2
K0,1
NaCl content,2
Span,3
absolute zeta potential,16
absorbance at 304 nm,2
absorbance at 420 nm,1
acid compound formation,1
acid concentration,1
acid/ester content,1
acidification time,1
aggregate and pore diameters,2
aggregate size,2
aggregation and precipitation,2
alanine content,2
alcohol concentration,1
alcohol content,3
aldehyde concentration,1
aldehyde content,3
aldehyde production,1
amino acid composition,5
amino acid content,9
amino acid profile,6
amount of amphiphilic protein,1
amphiphilic protein content,1
apparent cysteine recovery,1
apparent density,6
arginine concentration,1
arginine content,2
ascorbic acid degradation,1
ash,1
ash content,28
aspartic acid content,2
available lysine,1
average emulsion droplet size,1
bimodal droplet size distribution,2
binding free energy,1
bound water,1
bound water content,1
bound water fraction,1
bound water proportion (P2a),1
bound-water proportion,1
bulk density,15
calcium content,1
carbohydrate content,11
carbonyl content,7
carbonyl groups,1
carboxyl groups,1
cellulose content,1
changed physicochemical properties and structure,4
charge density and electrostatic repulsion,1
chemical stability,1
chemical yield,2
chloride content,1
citric acid concentration,1
coagulable protein content,3
coalescence,1
colloidal stability,2
conductivity,1
contact angle,1
contents of aldehydes and ketones,1
contents of alkanes and acids,1
copper content,1
correlation between solubility and zeta potential,1
critical micelle concentration,1
crude fat,1
crude fat content,6
crude fibre content,3
crude protein content,1
decomposition rate,1
degradation of ascorbic acid,1
degradation of total phenolic contents,1
degree of conjugation,5
degree of glycation,8
degree of glycosylation,4
degree of grafting,2
degree of hydrolysis,31
degree of succinylation,2
dehydration rate,2
depletion flocculation,1
dietary fiber content,1
dispersion concentration,3
dissolution in simulated gastric fluid,1
dissolution in simulated intestinal fluid,1
droplet size,9
droplet size distribution,2
dry matter content,3
dry matter yield,2
edestin and albumin fractions,1
edestin concentration,2
electrical conductivity,1
electrostatic attraction,1
electrostatic repulsion,2
electrostatic repulsion in protein molecules,1
emulsion droplet diameter,1
emulsion droplet particle size,1
equilibrium moisture content,1
essential amino acid composition,5
essential amino acid content,11
essential amino acid profile,2
essential amino acid proportion,1
ester concentration,1
ester content,3
exposure of amino acid residues on the protein surface,1
exposure of chromophores and hydrophobic groups,1
exposure of hydrophobic groups,2
