name,occurrence_count
E2,1
K′,4
K″,4
K″ / K′ ratio,1
Young modulus,5
Young's modulus,6
ability to form a network,1
acid coagulation behavior,1
adhesiveness,5
apparent viscosity,42
breaking strength,5
brittleness,4
chewability,2
chewiness,29
cohesion,2
cohesiveness,27
complex modulus,1
consistency coefficient,3
consistency index,2
consistency index K,3
critical strain,2
critical strain value,1
crumb hardness,2
dense lumps with a fault structure and no fluffy texture,1
dynamic moduli,1
elastic behavior,1
elastic stability,1
elastic surface film behavior,1
elasticity,12
elasticity at the pseudo-equilibrium gelation point,1
elongation at break,1
energy storage modulus,2
energy storage modulus (G'),1
fibrous muscle meat-like texture,3
film resistance,1
final storage modulus (G′),7
final viscosity,2
firmness loss,1
flow behavior index,2
"flow behavior, dynamic rheological properties, and water-holding capacity",20
flow behaviour changes,1
flow index,2
flow resistance,1
flow stress,4
foam compactness,1
foam firmness,1
fracture deformation,1
fracture strain,1
fracture stress,7
frequency dependence,2
frequency dependency of storage modulus (G′),1
frequency sweep slope,1
frequency-dependent behavior,1
gel homogeneity,1
gel network collapse,1
gel network density,1
gel network quality,1
gel network strengthening,1
gel pseudoplasticity,1
gel stability,4
gel stiffness,1
gel structure rupture,1
gel temperature,1
general rheological profile,1
granular and brittle texture,1
gumminess,14
half gelation time,1
hardness,82
hysteresis loop area,1
increased shear rate,1
infinite-shear viscosity (η∞),2
inflexion points of the storage modulus–time curves,1
initial viscosity,4
interruption of protein gel network formation,1
linear strain within the viscoelastic region,1
linear viscoelastic range,3
linear viscoelastic region,2
loss factor,2
loss factor (Tan δ),1
loss modulus,13
loss modulus (G″),9
lubricating characteristics and properties,3
mechanical strength,1
moduli value,2
n0,1
non-Newtonian shear-thinning behavior,1
non-auto-support gels,1
paste viscosity,1
pasting temperature,7
peak viscosity,6
power law exponent (n′),3
pre-gel viscosity,1
protein matrix contraction,1
rate of elastically active network-chain formation,1
resilience,7
resistance,1
resistance to slip upon inversion,1
rheological behavior,1
rheological index (n),1
rheological properties,5
self-supporting ability,1
self-supporting characteristics,2
shear stress,1
shear thinning behavior,5
shear-thinning behaviour,1
softer gel network,1
springiness,19
stiffness,3
storage and loss moduli,1
storage modulus,92
storage modulus and loss modulus,3
strain,1
strain at fracture,4
strain hardening,1
strain value,1
stress at fracture,1
tan δ,4
tanδ,4
tensile strength,1
textural characteristics,1
textural properties,4
"textural properties of foams, emulsions, and gels",1
texture,1
texture properties,3
uniform three-dimensional network structure,1
viscoelastic properties,1
viscosity,46
viscosity coefficient (K),1
viscous behavior,1
yield point,2
yield point strain,1
yield stress,7
zero shear viscosity,1
zero-shear viscosity (η0),2
