name,occurrence_count
122 kDa protein component content,1
57 kDa protein component content,1
94 kDa polypeptide band intensity,1
Amide A band peak intensity,1
Amide B band peak intensity,1
Amide I band peak intensity,1
Amide I band position,2
Amide II band peak intensity,1
C-H absorption-peak intensity,1
Fourier Transform-Infrared peak intensity changes,1
O-H stretching peak wavenumber,1
O-H/N-H peak intensity,1
Schiff base formation,1
T21 relaxation time,2
T22 relaxation peak,1
T22 relaxation time,1
T23 relaxation peak,1
T23 relaxation time,1
T2b and T2b-1 peak areas,1
UV absorbance intensity,1
UV-vis absorption,3
X-ray diffraction peaks,1
absence of 7S denaturation temperature,1
absence of oily coatings on the proteins and starch matrix,1
absorbance intensity at 1743 cm−1,1
active sulfhydryl content,2
agglomeration and high stacking,1
aggregate dissociation,1
aggregate size and pore volume,1
aggregated structures,2
"aggregates of protein, fat, and starch matrix",2
aggregation,14
aggregation and cross-linking,1
aggregation and network formation,3
aggregation enthalpy,1
aggregation of conarachin I and conarachin II,1
aggregation of protein protofibrils into clusters,1
aggregation of whey protein isolate-apple pectin conjugates,2
aggregation peak temperature,1
aggregation temperature,2
albumin band saturation,1
aliphatic signals,1
alpha helix,6
alpha-helical content,2
alpha-helices,4
alpha-helix and beta-sheet structural changes,1
alpha-helix content,85
alpha-helix structural alteration,1
alpha-helix structure unfolding,1
alpha-helix to beta-sheet content ratio,1
altered microstructure,1
amide A peak intensity,2
amide I band intensity,2
amide I band shape,1
amide I peak intensity,1
"amide I, amide II, and hydroxyl band width",1
amide II and III band positions,1
amide III region peaks,1
amide and hydroxyl band width,1
amino acid composition alteration,1
amino acid side chains,1
amino acid side-chain structural percentage,1
amorphous conjugate structure,1
amorphous extracellular material,1
amorphous structure,2
antiparallel beta-sheet content,5
antiparallel β-sheet structure,1
apparent molecular weight distribution,1
arabinoxylan-associated absorbance bands,1
aromatic amino acid exposure to solvents,1
aromatic peaks,1
band composition,1
band intensity at the top of the stacking gel,1
band intensity of beta-conglycinin and glycinin subunits,1
beta turn,4
beta-antiparallel content,1
beta-sheet content (intermolecular and intramolecular),2
beta-sheet proportion,1
beta-sheet structural content,72
beta-sheet structures,1
beta-sheets,1
beta-sheets/beta-strands,2
beta-strand content,1
beta-turn content,39
beta-turn structure,2
bound-water relaxation time,1
breakage of sided branched 4-O-methyl-d-glucopyranosyluronic acid from the mucilaginous tetrasaccharide linear structure,1
broader amide I and hydroxyl group bands,1
bubbles,1
cell diameter,4
cell elongation,3
cell wall structure,2
chemical bonds or groups,1
cleavage of larger globulins into lower molecular weight subunits,1
coalescence between adjacent protein-rich microdomains,1
coarse gel structure,1
