evidence_id,source_name,target_name,interaction_type,doi,chunk_id,section,pmid,compared_property,reported_value,claim_status,category,corresponding_sentence
9897f1a8df6c,enzymatic hydrolysis,zeta potential,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of enzymatic treatments led to a gradual increase in zeta potential, and a rise in protein hydrophobicity."
667e5b3c129a,enzymatic hydrolysis,hydrophobicity,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of enzymatic treatments led to a gradual increase in zeta potential, and a rise in protein hydrophobicity."
796bbb76076f,trypsin hydrolysis,solubility,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"The solubility of trypsin and papain hydrolyzed CPI proteins increased at pH 10.0, while minor decreases in solubility were noted at pH 7.0."
7c1e36e1c0cc,papain hydrolysis,solubility,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"The solubility of trypsin and papain hydrolyzed CPI proteins increased at pH 10.0, while minor decreases in solubility were noted at pH 7.0."
af1b16f94a2a,trypsin hydrolysis,solubility,DECREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"The solubility of trypsin and papain hydrolyzed CPI proteins increased at pH 10.0, while minor decreases in solubility were noted at pH 7.0."
de15f27b470a,papain hydrolysis,solubility,DECREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"The solubility of trypsin and papain hydrolyzed CPI proteins increased at pH 10.0, while minor decreases in solubility were noted at pH 7.0."
5f89346af8f0,pepsin hydrolysis,water holding capacity,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of pepsin and papain treatment was noted to improve the water holding capacity (WHC), whereas hydrolysis with all three enzymes led to decreases in oil holding capacity (OHC)."
5fb7f104f235,papain hydrolysis,water holding capacity,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of pepsin and papain treatment was noted to improve the water holding capacity (WHC), whereas hydrolysis with all three enzymes led to decreases in oil holding capacity (OHC)."
bf8513309ee8,trypsin hydrolysis,oil holding capacity,DECREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of pepsin and papain treatment was noted to improve the water holding capacity (WHC), whereas hydrolysis with all three enzymes led to decreases in oil holding capacity (OHC)."
6cf854d5d66d,pepsin hydrolysis,oil holding capacity,DECREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of pepsin and papain treatment was noted to improve the water holding capacity (WHC), whereas hydrolysis with all three enzymes led to decreases in oil holding capacity (OHC)."
f5dbfcd44662,papain hydrolysis,oil holding capacity,DECREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"Increasing length of pepsin and papain treatment was noted to improve the water holding capacity (WHC), whereas hydrolysis with all three enzymes led to decreases in oil holding capacity (OHC)."
eaf5d48ff322,trypsin hydrolysis,emulsifying activity index,INCREASED,10-1002_cche-10383,10-1002_cche-10383_abstract1,abstract,10-1002_cche-10383,,,observed,treatment_property_change,"The emulsifying activity index (EAI) of the CPI increased following hydrolysis with all enzymes at pH 4.0 and 10.0, while at pH 7.0 no changes were observed."
