entity_name,total_occurrences,type_breakdown,majority_type,majority_share,near_tie_flag
protein glutaminase treatment,2,modification_method=1; material_used_directly=1,modification_method,0.5,True
Chymotrypsin enzyme treatment,2,modification_method=1; material_used_directly=1,modification_method,0.5,True
NaCl extraction,2,extraction_method=1; material_used_directly=1,extraction_method,0.5,True
5-day-germinated hemp seed protein isolate with ultrafiltration and structural content analysis,10,material_used_directly=5; structural_property=5,material_used_directly,0.5,True
nanoscale aggregates,2,material_used_directly=1; structural_property=1,material_used_directly,0.5,True
exposure of hydrophilic regions or residues,2,structural_property=1; physicochemical_property=1,structural_property,0.5,True
viscoelasticity,4,functional_property=2; rheological_property=2,functional_property,0.5,True
exposure of hydrophobic groups,2,physicochemical_property=1; structural_property=1,physicochemical_property,0.5,True
dense gel network structure,6,functional_property=3; structural_property=3,functional_property,0.5,True
mechanical properties,6,functional_property=3; rheological_property=3,functional_property,0.5,True
denser protein gel network,2,functional_property=1; structural_property=1,functional_property,0.5,True
maximal gelation rate,2,functional_property=1; rheological_property=1,functional_property,0.5,True
gel network structure,2,structural_property=1; rheological_property=1,structural_property,0.5,True
sericin addition,50,material_used_directly=26; modification_method=24,material_used_directly,0.52,True
hot pressing,23,extraction_method=12; material_used_directly=11,extraction_method,0.522,True
solvent extraction,21,material_used_directly=11; extraction_method=10,material_used_directly,0.524,True
wet fractionation,19,material_used_directly=10; extraction_method=9,material_used_directly,0.526,True
hexane extraction,13,extraction_method=7; material_used_directly=6,extraction_method,0.538,True
thermal processing,9,material_used_directly=5; modification_method=4,material_used_directly,0.556,True
conventional heating,9,material_used_directly=5; modification_method=4,material_used_directly,0.556,True
vacuum drying,41,material_used_directly=23; modification_method=18,material_used_directly,0.561,True
Refractance Window drying,23,modification_method=13; material_used_directly=10,modification_method,0.565,True
acetic acid precipitation,21,extraction_method=12; material_used_directly=9,extraction_method,0.571,True
fermentation with starter culture 1,7,modification_method=4; material_used_directly=3,modification_method,0.571,True
ball milling,35,modification_method=20; extraction_method=15,modification_method,0.571,True
yield stress,7,rheological_property=4; functional_property=3,rheological_property,0.571,True
metal cations,26,material_used_directly=15; modification_method=11,material_used_directly,0.577,True
reducing sugars,5,physicochemical_property=3; material_used_directly=2,physicochemical_property,0.6,True
ultrasound-assisted extraction followed by high-pressure-assisted extraction,5,extraction_method=3; material_used_directly=2,extraction_method,0.6,True
free sulfhydryl content,40,structural_property=24; physicochemical_property=16,structural_property,0.6,True
gelation time,5,functional_property=3; rheological_property=2,functional_property,0.6,True
soluble protein content,10,functional_property=6; physicochemical_property=4,functional_property,0.6,True
free sulfhydryl group content,58,structural_property=35; physicochemical_property=23,structural_property,0.603,True
hydrochloric acid precipitation,30,material_used_directly=19; extraction_method=11,material_used_directly,0.633,True
total sulfhydryl content,14,structural_property=9; physicochemical_property=5,structural_property,0.643,True
high methoxyl pectin addition,6,material_used_directly=4; modification_method=2,material_used_directly,0.667,False
glycation,3,physicochemical_property=2; modification_method=1,physicochemical_property,0.667,False
acid-induced gelation,3,modification_method=2; material_used_directly=1,modification_method,0.667,False
protein concentration process,6,modification_method=4; extraction_method=2,modification_method,0.667,False
high-pressure-assisted extraction followed by ultrasound-assisted extraction,6,extraction_method=4; material_used_directly=2,extraction_method,0.667,False
stiffness,3,rheological_property=2; functional_property=1,rheological_property,0.667,False
friction coefficient,3,functional_property=2; rheological_property=1,functional_property,0.667,False
