entity_name,majority_type,majority_share,near_tie_flag,type_breakdown,resolved_type,resolution_source,confidence,rationale
protein glutaminase treatment,modification_method,0.5,True,modification_method=1; material_used_directly=1,modification_method,majority_vote,,
Chymotrypsin enzyme treatment,modification_method,0.5,True,modification_method=1; material_used_directly=1,modification_method,majority_vote,,
NaCl extraction,extraction_method,0.5,True,extraction_method=1; material_used_directly=1,extraction_method,majority_vote,,
5-day-germinated hemp seed protein isolate with ultrafiltration and structural content analysis,material_used_directly,0.5,True,material_used_directly=5; structural_property=5,material_used_directly,majority_vote,,
nanoscale aggregates,material_used_directly,0.5,True,material_used_directly=1; structural_property=1,material_used_directly,majority_vote,,
exposure of hydrophilic regions or residues,structural_property,0.5,True,structural_property=1; physicochemical_property=1,structural_property,majority_vote,,
viscoelasticity,functional_property,0.5,True,functional_property=2; rheological_property=2,functional_property,majority_vote,,
exposure of hydrophobic groups,physicochemical_property,0.5,True,physicochemical_property=1; structural_property=1,physicochemical_property,majority_vote,,
dense gel network structure,functional_property,0.5,True,functional_property=3; structural_property=3,functional_property,majority_vote,,
mechanical properties,functional_property,0.5,True,functional_property=3; rheological_property=3,functional_property,majority_vote,,
denser protein gel network,functional_property,0.5,True,functional_property=1; structural_property=1,functional_property,majority_vote,,
maximal gelation rate,functional_property,0.5,True,functional_property=1; rheological_property=1,functional_property,majority_vote,,
gel network structure,structural_property,0.5,True,structural_property=1; rheological_property=1,structural_property,majority_vote,,
sericin addition,material_used_directly,0.52,True,material_used_directly=26; modification_method=24,material_used_directly,majority_vote,,
hot pressing,extraction_method,0.522,True,extraction_method=12; material_used_directly=11,extraction_method,majority_vote,,
solvent extraction,material_used_directly,0.524,True,material_used_directly=11; extraction_method=10,material_used_directly,majority_vote,,
wet fractionation,material_used_directly,0.526,True,material_used_directly=10; extraction_method=9,material_used_directly,majority_vote,,
hexane extraction,extraction_method,0.538,True,extraction_method=7; material_used_directly=6,extraction_method,majority_vote,,
thermal processing,material_used_directly,0.556,True,material_used_directly=5; modification_method=4,material_used_directly,majority_vote,,
conventional heating,material_used_directly,0.556,True,material_used_directly=5; modification_method=4,material_used_directly,majority_vote,,
vacuum drying,material_used_directly,0.561,True,material_used_directly=23; modification_method=18,material_used_directly,majority_vote,,
Refractance Window drying,modification_method,0.565,True,modification_method=13; material_used_directly=10,modification_method,majority_vote,,
acetic acid precipitation,extraction_method,0.571,True,extraction_method=12; material_used_directly=9,extraction_method,majority_vote,,
fermentation with starter culture 1,modification_method,0.571,True,modification_method=4; material_used_directly=3,modification_method,majority_vote,,
ball milling,modification_method,0.571,True,modification_method=20; extraction_method=15,modification_method,majority_vote,,
yield stress,rheological_property,0.571,True,rheological_property=4; functional_property=3,rheological_property,majority_vote,,
metal cations,material_used_directly,0.577,True,material_used_directly=15; modification_method=11,material_used_directly,majority_vote,,
reducing sugars,physicochemical_property,0.6,True,physicochemical_property=3; material_used_directly=2,physicochemical_property,majority_vote,,
ultrasound-assisted extraction followed by high-pressure-assisted extraction,extraction_method,0.6,True,extraction_method=3; material_used_directly=2,extraction_method,majority_vote,,
free sulfhydryl content,structural_property,0.6,True,structural_property=24; physicochemical_property=16,structural_property,majority_vote,,
gelation time,functional_property,0.6,True,functional_property=3; rheological_property=2,functional_property,majority_vote,,
soluble protein content,functional_property,0.6,True,functional_property=6; physicochemical_property=4,functional_property,majority_vote,,
free sulfhydryl group content,structural_property,0.603,True,structural_property=35; physicochemical_property=23,structural_property,majority_vote,,
hydrochloric acid precipitation,material_used_directly,0.633,True,material_used_directly=19; extraction_method=11,material_used_directly,majority_vote,,
total sulfhydryl content,structural_property,0.643,True,structural_property=9; physicochemical_property=5,structural_property,majority_vote,,
high methoxyl pectin addition,material_used_directly,0.667,False,material_used_directly=4; modification_method=2,material_used_directly,majority_vote,,
glycation,physicochemical_property,0.667,False,physicochemical_property=2; modification_method=1,physicochemical_property,majority_vote,,
acid-induced gelation,modification_method,0.667,False,modification_method=2; material_used_directly=1,modification_method,majority_vote,,
protein concentration process,modification_method,0.667,False,modification_method=4; extraction_method=2,modification_method,majority_vote,,
high-pressure-assisted extraction followed by ultrasound-assisted extraction,extraction_method,0.667,False,extraction_method=4; material_used_directly=2,extraction_method,majority_vote,,
stiffness,rheological_property,0.667,False,rheological_property=2; functional_property=1,rheological_property,majority_vote,,
friction coefficient,functional_property,0.667,False,functional_property=2; rheological_property=1,functional_property,majority_vote,,
gel firmness,functional_property,0.667,False,functional_property=4; rheological_property=2,functional_property,majority_vote,,
total sulfhydryl groups,structural_property,0.667,False,structural_property=4; physicochemical_property=2,structural_property,majority_vote,,
porosity,structural_property,0.667,False,structural_property=2; physicochemical_property=1,structural_property,majority_vote,,
complex viscosity,functional_property,0.667,False,functional_property=2; rheological_property=1,functional_property,majority_vote,,
degree of phosphorylation,modification_method,0.667,False,modification_method=2; physicochemical_property=1,modification_method,majority_vote,,
stability,structural_property,0.667,False,structural_property=2; functional_property=1,structural_property,majority_vote,,
elasticity,rheological_property,0.667,False,rheological_property=8; functional_property=4,rheological_property,majority_vote,,
storage modulus,rheological_property,0.685,False,rheological_property=63; functional_property=29,rheological_property,majority_vote,,
defatting treatment,modification_method,0.688,False,modification_method=75; extraction_method=32; material_used_directly=2,modification_method,majority_vote,,
sucrose addition,modification_method,0.708,False,modification_method=17; material_used_directly=7,modification_method,majority_vote,,
arabinofuranosidase-assisted alkaline extraction,extraction_method,0.714,False,extraction_method=5; material_used_directly=2,extraction_method,majority_vote,,
hydrophilicity,physicochemical_property,0.714,False,physicochemical_property=5; functional_property=2,physicochemical_property,majority_vote,,
