name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
"2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) radical scavenging measurement",14,False,False,,,False,,
"2,2-diphenyl-1-picrylhydrazyl radical scavenging measurement",23,False,False,,,False,,
"2,2-diphenyl-1-picrylhydrazyl scavenging activity ED50",5,False,False,,,False,,
3D printing performance,1,False,False,,,False,,
Alcohol dehydrogenase activation activity,3,False,False,,,False,,
Gastrointestinal digestibility,3,False,False,,,False,,
Technique for Order Preference by Similarity to Ideal Solution closeness coefficient,1,False,False,,,False,,
U-shaped solubility profile,1,False,False,,,False,,
acid stability,1,False,False,,,False,,
acid-induced gel structuring ability,1,False,False,,,False,,
acid-induced protein gelation,1,False,False,,,False,,
alcohol production,3,False,False,,,False,,
alcohol yield,2,False,False,,,False,,
amino acid digestion,1,False,False,,,False,,
amino acid score,10,False,False,,,False,,
angiotensin I converting enzyme inhibition,1,False,False,,,False,,
anti-lipid oxidation ability,4,False,False,,,False,,
antimicrobial activity against Staphylococcus aureus,2,False,False,,,False,,
antioxidant activity,14,False,False,,,False,,
antioxidant properties,3,False,False,,,False,,
aqueous solubility,2,False,False,,,False,,
bake loss,2,False,False,,,False,,
binding to water molecules,1,False,False,,,False,,
bioactive properties,1,False,False,,,False,,
brittle gel network,1,False,False,,,False,,
cake volume,1,False,False,,,False,,
calcium absorption,1,False,False,,,False,,
calcium bioaccessibility,2,False,False,,,False,,
calcium bioavailability,2,False,False,,,False,,
calcium retention,1,False,False,,,False,,
calcium tolerance,2,False,False,,,False,,
calcium-binding ability,1,False,False,,,False,,
calcium-binding affinity,1,False,False,,,False,,
catalytic efficiency,1,False,False,,,False,,
"cohesive, elastic gel network formation",2,False,False,,,False,,
"compact, dense elastic network structure",1,False,False,,,False,,
complex protein acid gel microstructures,1,False,False,,,False,,
composite gel formation,4,False,False,,,False,,
conjugation and Schiff's base formation,1,False,False,,,False,,
controlled release,1,False,False,,,False,,
cooking loss,5,False,False,,,False,,
correlation between emulsifying capacity and interface properties,1,False,False,,,False,,
correlation between foaming capacity and surface hydrophobicity,1,False,False,,,False,,
correlation between interfacial tension reducing ability and surface hydrophobicity,1,False,False,,,False,,
correlation between solubility and L/V ratio,1,False,False,,,False,,
correlation between solubility and emulsifying activity index,1,False,False,,,False,,
correlation between solubility and emulsifying capacity,1,False,False,,,False,,
correlation between solubility and foaming capacity,1,False,False,,,False,,
correlation between solubility and oil-holding capacity,1,False,False,,,False,,
correlation between solubility and water-holding capacity,1,False,False,,,False,,
