name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
(α and α′)-lacking soy protein isolate,4,False,False,,,False,,
11S globulin,1,False,False,,,False,,
2-undecanone,3,False,False,,,False,,
20% (w/w) quinoa protein isolate gel,2,False,False,,,False,,
5-day-germinated hemp seed protein isolate (isoelectric precipitation),5,False,False,,,False,,
5-day-germinated hemp seed protein isolate with ultrafiltration and structural content analysis,10,True,True,material_used_directly=5; structural_property=5,llm,True,high,"The entity is primarily referenced as a protein isolate, a physical substance used in experiments."
African locust bean protein isolate,2,False,False,,,False,,
Aleppo pine seed protein concentrate,6,False,False,,,False,,
Arthrospira (Spirulina) platensis protein isolate,1,False,False,,,False,,
Asmara vegetable soybean variety,1,False,False,,,False,,
Azkan and Erzincan chickpea protein isolates,3,False,False,,,False,,
Azkan chickpea flour,1,False,False,,,False,,
Azkan chickpea protein isolate,3,False,False,,,False,,
Black chickpea protein isolate,14,False,False,,,False,,
Brazil nut full fat seed flour,1,False,False,,,False,,
Brewers’ spent grain protein isolate dispersions,2,False,False,,,False,,
CO2-deoiled lupin,2,False,False,,,False,,
CO2-deoiled lupin and its protein isolates,1,False,False,,,False,,
Catechin,2,False,False,,,False,,
Chimonobambusa quadrangularis protein isolate,2,False,False,,,False,,
Chimonobambusa quadrangularis shoot,1,False,False,,,False,,
Chinese jujube seed protein concentrate,13,False,False,,,False,,
Chinese quince protein isolate,37,False,False,,,False,,
Chryseobacterium proteolyticum protein glutaminase,8,False,False,,,False,,
Chryseobacterium sediminis protein glutaminase,9,False,False,,,False,,
Chymotrypsin-extruded corn gluten meal,1,False,False,,,False,,
Colorado cowpea flour,2,False,False,,,False,,
Cornell breeding line,1,False,False,,,False,,
Cornell breeding line hemp protein isolate,1,False,False,,,False,,
Cornell hemp breeding line,2,False,False,,,False,,
Cuarenton cowpea flour,1,False,False,,,False,,
Cyperus esculentus protein hydrolysates,2,False,False,,,False,,
"Cyperus esculentus protein, wheat gluten protein, and flaxseed protein",1,False,False,,,False,,
DWalPI (WalPI sample; full preparation not specified),2,False,False,,,False,,
Dendrocalamus latiflorus Munro bamboo shoot protein isolate,3,False,False,,,False,,
Dendrocalamus latiflorus protein isolate,7,False,False,,,False,,
Erzincan chickpea protein isolate,7,False,False,,,False,,
"Erzincan, Hisar, and Azkan chickpea protein isolates",1,False,False,,,False,,
Fabelle,1,False,False,,,False,,
Fabelle faba bean cultivar,5,False,False,,,False,,
Fabelle faba bean protein isolate,2,False,False,,,False,,
Ficus awkeotsang Makino pectin,46,False,False,,,False,,
Flaxseed protein enzyme hydrolysates,1,False,False,,,False,,
GABA,26,False,False,,,False,,
GL enzyme treatment,1,False,False,,,False,,
"GL, Protein glutaminase, and Papain enzymes",1,False,False,,,False,,
GL-mediated deamidation,1,False,False,,,False,,
Glandless cottonseed meal protein,15,False,False,,,False,,
H. elongata protein concentrate,6,False,False,,,False,,
H. elongata protein dispersion,1,False,False,,,False,,
H. elongata protein extract,3,False,False,,,False,,
HP-20 resin,1,False,False,,,False,,
Himanthalia elongata protein extract,10,False,False,,,False,,
Hisar and Erzincan chickpea protein isolates,1,False,False,,,False,,
Hisar chickpea protein isolate,10,False,False,,,False,,
Hofmeister anion type,2,False,False,,,False,,
Hofmeister-series anions,2,False,False,,,False,,
Isoelectric focus buffer (IEF) buffer with bond-breaking reagents,2,False,False,,,False,,
Japonica rice bran protein,4,False,False,,,False,,
Macauba Kernel Protein Isolate,22,False,False,,,False,,
Malik,1,False,False,,,False,,
Malik faba bean cultivar,5,False,False,,,False,,
Malik faba bean protein isolate,3,False,False,,,False,,
Mung bean protein isolate,24,False,False,,,False,,
NaCas,3,False,False,,,False,,
NaCl,15,False,False,,,False,,
Oligostachyum sulcatum protein isolate,1,False,False,,,False,,
Owens vegetable soybean variety,6,False,False,,,False,,
PWalPI (WalPI sample; full preparation not specified),4,False,False,,,False,,
Pea protein isolate and Ficus awkeotsang Makino pectin composite formulation,7,True,False,material_used_directly=6; structural_property=1,llm,True,high,"The entity is primarily discussed as a physical substance used in formulations, not as a structural feature."
Pea protein isolate-Ficus awkeotsang Makino pectin composite gel,2,False,False,,,False,,
Phyllostachys edulis Winter Protein Isolate and Phyllostachys edulis Spring Protein Isolate bamboo shoot protein isolates,1,False,False,,,False,,
Phyllostachys edulis Winter Protein Isolate bamboo shoot protein isolate,2,False,False,,,False,,
Phyllostachys edulis spring shoot,2,False,False,,,False,,
Phyllostachys edulis spring shoot protein isolate,6,False,False,,,False,,
Phyllostachys edulis winter shoot,1,False,False,,,False,,
Phyllostachys edulis winter shoot protein isolate,4,False,False,,,False,,
Phyllostachys praecox protein isolate,2,False,False,,,False,,
Pinus halepensis protein concentrate,10,False,False,,,False,,
SPI and Wheat gluten protein enzyme hydrolysates,2,False,False,,,False,,
San Francisco cowpea flour,1,False,False,,,False,,
Snowbird faba bean cultivar,14,False,False,,,False,,
Snowbird faba bean protein isolate,3,False,False,,,False,,
Soy protein isolates-Walnut protein co-assembly,10,True,False,material_used_directly=9; modification_method=1,llm,True,high,The entity is consistently described as a physical substance with specific properties.
Torreya grandis nuts protein,1,False,False,,,False,,
UWalPI (WalPI sample; full preparation not specified),2,False,False,,,False,,
XAD-16N and SP-207 resins,1,False,False,,,False,,
XAD-16N resin,13,False,False,,,False,,
Yasa chickpea protein isolate,8,False,False,,,False,,
acetylated bambarra groundnut protein concentrate,2,False,False,,,False,,
acetylated potato protein concentrate,1,False,False,,,False,,
acetylated potato protein isolate,1,False,False,,,False,,
acid precipitated soy isolate,6,False,False,,,False,,
acid soluble protein concentrate,9,False,False,,,False,,
acid-soluble pinto bean protein concentrate,2,False,False,,,False,,
acid-soluble pinto bean protein isolate fraction,1,False,False,,,False,,
acids/esters,2,False,False,,,False,,
adsorbent resins,1,False,False,,,False,,
air-classified pea protein concentrate,1,False,False,,,False,,
albumin,20,False,False,,,False,,
albumin proportion,2,False,False,,,False,,
albumin protein fraction,18,True,False,material_used_directly=16; physicochemical_property=2,llm,True,high,"The entity 'albumin protein fraction' is consistently described as a distinct protein fraction or component in various samples, aligning with 'material_used_directly.'"
alfalfa leaf protein concentrate,6,False,False,,,False,,
alkali solution with isoelectric precipitation peanut protein concentrate,6,False,False,,,False,,
alkaline extraction without ultrasound,1,False,False,,,False,,
almond flour,2,False,False,,,False,,
almond full fat seed flour,1,False,False,,,False,,
almond protein,8,False,False,,,False,,
aqueous extraction and mechanical pressing,1,False,False,,,False,,
artificial neural network model,1,False,False,,,False,,
bambarra groundnut protein concentrate,6,False,False,,,False,,
bamboo shoot protein isolate,17,False,False,,,False,,
