name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
1.5 M urea addition,2,False,False,,,False,,
13-13-hydroperoxyoctadecadienoic acid modification,32,False,False,,,False,,
13-13-hydroperoxyoctadecadienoic acid oxidation,17,False,False,,,False,,
"2,2'-azobis(2-amidinopropane) dihydrochloride oxidation",17,True,False,modification_method=15; material_used_directly=2,llm,True,high,The entity is consistently described as a process applied to modify protein properties.
2-mercaptoethanol treatment,1,False,False,,,False,,
250 mM dithiothreitol addition,1,False,False,,,False,,
8 M urea addition,3,False,False,,,False,,
8 M urea and 250 mM dithiothreitol addition,2,False,False,,,False,,
Alcalase hydrolysis,45,True,False,modification_method=43; material_used_directly=2,llm,True,high,"Alcalase hydrolysis is consistently described as a process applied to proteins to alter their properties, fitting the definition of a modification method."
Alcalase hydrolysis and Lactobacillus amylolyticus fermentation,1,False,False,,,False,,
Alcalase hydrolysis and Lactobacillus helveticus fermentation,1,False,False,,,False,,
Alcalase hydrolysis and Lactobacillus sakei ssp. carnosus fermentation,3,False,False,,,False,,
Alcalase hydrolysis and fermentation,1,False,False,,,False,,
Alcalase hydrolysis and transglutaminase conjugation,3,False,False,,,False,,
Alcalase hydrolysis and transglutaminase cross-linking,2,False,False,,,False,,
CaCl2 addition,7,True,False,modification_method=6; material_used_directly=1,llm,True,high,CaCl2 addition is used to modify the properties of the protein.
Chryseobacterium sediminis-Protein glutaminase-mediated deamidation,44,False,False,,,False,,
Chymotrypsin enzyme,3,False,False,,,False,,
Chymotrypsin enzyme treatment,2,True,True,modification_method=1; material_used_directly=1,llm,True,high,The entity is described as a treatment applied to modify protein properties.
Chymotrypsin-mediated deamidation,1,False,False,,,False,,
DH30 soy peptide addition,9,False,False,,,False,,
DH90 soy peptide addition,8,True,False,modification_method=7; material_used_directly=1,llm,True,high,The entity 'DH90 soy peptide addition' is consistently described as a treatment applied to gels to modify their lubrication properties.
Direct steam injection treatment,1,False,False,,,False,,
Ficus awkeotsang Makino pectin increase,8,False,False,,,False,,
Ficus awkeotsang Makino pectin-dominant continuous network,1,False,False,,,False,,
GABA addition,26,False,False,,,False,,
H2O2 oxidation,7,True,False,modification_method=6; material_used_directly=1,llm,True,high,H2O2 oxidation is consistently described as a treatment applied to modify protein properties.
HP-20 resin treatment,10,False,False,,,False,,
Hofmeister salt addition,7,False,False,,,False,,
Hofmeister salt concentration,1,False,False,,,False,,
Hofmeister salt treatment,2,False,False,,,False,,
KCl addition,28,False,False,,,False,,
KCl substitution,61,False,False,,,False,,
Maillard conjugation,3,False,False,,,False,,
Maillard glycosylation,35,False,False,,,False,,
Maillard reaction,12,False,False,,,False,,
MgCl2 addition,7,False,False,,,False,,
NaCl addition,62,False,False,,,False,,
NaCl concentration adjustment,6,False,False,,,False,,
NaCl replacement by KCl,6,False,False,,,False,,
Papain enzyme treatment,3,False,False,,,False,,
Papain hydrolysis and Lactobacillus amylolyticus fermentation,1,False,False,,,False,,
Papain-mediated deamidation,3,False,False,,,False,,
Pepsin hydrolysis and Lactobacillus helveticus fermentation,1,False,False,,,False,,
Pepsin hydrolysis and fermentation,1,False,False,,,False,,
Protamex hydrolysis,17,False,False,,,False,,
Refractance Window drying,23,True,True,modification_method=13; material_used_directly=10,llm,True,high,"Refractance Window drying is consistently described as a process applied to protein isolates, affecting their properties."
SP-207 resin treatment,9,False,False,,,False,,
TGase cross-linking,6,False,False,,,False,,
Vacuum-cold plasma treatment,27,False,False,,,False,,
acetic acid treatment,1,False,False,,,False,,
acetylation,99,True,False,modification_method=93; material_used_directly=6,llm,True,high,Acetylation is consistently described as a process applied to proteins to alter their properties.
acetylation with acetic anhydride,4,False,False,,,False,,
acid-induced gelation,3,True,False,modification_method=2; material_used_directly=1,llm,True,high,'Acid-induced gelation' describes a process applied to proteins to alter their properties.
acidic and thermal gelation,1,False,False,,,False,,
acidic pH-shifting,9,False,False,,,False,,
acidification,32,True,False,modification_method=31; extraction_method=1,llm,True,high,Acidification is consistently described as a process altering protein properties.
acylation,33,True,False,modification_method=31; material_used_directly=2,llm,True,high,Acylation is consistently described as a process applied to proteins to alter their properties.
acylation and guar gum conjugation,1,False,False,,,False,,
acylation with lauroyl chloride,14,False,False,,,False,,
addition of sericin,11,False,False,,,False,,
advanced stages of the Maillard reaction,1,False,False,,,False,,
air-fed cold plasma,12,False,False,,,False,,
alkaline pH-shifting,19,False,False,,,False,,
ammonia treatment,1,False,False,,,False,,
amorphization,1,False,False,,,False,,
amylase and cellulase treatment,2,False,False,,,False,,
amylase hydrolysis,1,False,False,,,False,,
arabinofuranosidase pretreatment,12,False,False,,,False,,
arabinofuranosidase treatment,5,False,False,,,False,,
artificial neural network-genetic algorithm optimization,2,False,False,,,False,,
atmospheric cold plasma treatment,49,False,False,,,False,,
atmospheric pressure cold plasma,10,False,False,,,False,,
autoclaving,23,False,False,,,False,,
ball milling,35,True,True,modification_method=20; extraction_method=15,llm,True,high,"Ball milling is consistently described as a treatment applied to modify protein properties, not to isolate them."
calcium cation addition,8,False,False,,,False,,
calcium chloride addition,13,False,False,,,False,,
calcium sulfate addition,17,False,False,,,False,,
calcium sulphate coagulation,1,False,False,,,False,,
calcium-induced gelation,37,True,False,modification_method=34; functional_property=3,llm,True,high,Calcium-induced gelation is described as a process applied to proteins to alter their properties.
calcium-mediated crosslinking,1,False,False,,,False,,
caramelization,1,False,False,,,False,,
cell wall destruction,1,False,False,,,False,,
cellulase and xylanase cocktail treatment,8,False,False,,,False,,
cellulase and xylanase pretreatment,13,True,False,modification_method=12; material_used_directly=1,llm,True,high,The entity 'cellulase and xylanase pretreatment' is consistently described as a process applied to enhance protein extraction.
cellulase-assisted enzymatic extraction,2,False,False,,,False,,
chemical denaturation,6,False,False,,,False,,
chemical modification,4,False,False,,,False,,
chemical phosphorylation,4,False,False,,,False,,
chemical phosphorylation with sodium trimetaphosphate,1,False,False,,,False,,
chymotrypsin hydrolysis,13,False,False,,,False,,
citric acid deamidation,1,False,False,,,False,,
cold plasma jet treatment,9,False,False,,,False,,
cold plasma processing,38,True,False,modification_method=37; material_used_directly=1,llm,True,high,Cold plasma processing is consistently described as a treatment applied to proteins to alter their properties.
cold plasma treatment,211,False,False,,,False,,
controlled peptic hydrolysis,1,False,False,,,False,,
conventional heating,9,True,True,material_used_directly=5; modification_method=4,llm,True,high,'Conventional heating' is consistently described as a treatment applied to alter properties of protein gels.
cooking,17,True,False,modification_method=16; material_used_directly=1,llm,True,high,'Cooking' is consistently described as a process applied to alter the properties of proteins.
cooking process,48,False,False,,,False,,
cooling,6,False,False,,,False,,
covalent complexation,2,False,False,,,False,,
