name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
-S-S- content,1,False,False,,,False,,
1-hexanol content,1,False,False,,,False,,
1-hexanol level,1,False,False,,,False,,
11S/7S ratio,2,False,False,,,False,,
15–20 kDa protein,1,False,False,,,False,,
18 kDa subunit abundance,2,False,False,,,False,,
K0,1,False,False,,,False,,
NaCl concentration,4,False,False,,,False,,
NaCl content,2,False,False,,,False,,
Span,3,False,False,,,False,,
absolute zeta potential,16,False,False,,,False,,
absorbance at 304 nm,2,False,False,,,False,,
absorbance at 420 nm,1,False,False,,,False,,
acid compound formation,1,False,False,,,False,,
acid concentration,1,False,False,,,False,,
acid/ester content,1,False,False,,,False,,
acidification time,1,False,False,,,False,,
aggregate and pore diameters,2,False,False,,,False,,
aggregate size,2,False,False,,,False,,
aggregation and precipitation,2,False,False,,,False,,
alanine content,2,False,False,,,False,,
alcohol concentration,1,False,False,,,False,,
alcohol content,3,False,False,,,False,,
aldehyde concentration,1,False,False,,,False,,
aldehyde content,3,False,False,,,False,,
aldehyde production,1,False,False,,,False,,
amino acid composition,5,True,False,physicochemical_property=4; structural_property=1,llm,True,high,"Amino acid composition describes the chemical makeup of proteins, fitting the physicochemical category."
amino acid content,9,False,False,,,False,,
amino acid profile,6,False,False,,,False,,
amount of amphiphilic protein,1,False,False,,,False,,
amphiphilic protein content,1,False,False,,,False,,
apparent cysteine recovery,1,False,False,,,False,,
apparent density,6,False,False,,,False,,
arginine concentration,1,False,False,,,False,,
arginine content,2,False,False,,,False,,
ascorbic acid degradation,1,False,False,,,False,,
ash,1,False,False,,,False,,
ash content,28,False,False,,,False,,
aspartic acid content,2,False,False,,,False,,
available lysine,1,False,False,,,False,,
average emulsion droplet size,1,False,False,,,False,,
basic amino acid content,1,False,False,,,False,,
bimodal droplet size distribution,2,False,False,,,False,,
binding affinity between volatile organic compounds and the protein core,1,False,False,,,False,,
binding free energy,1,False,False,,,False,,
bound water,1,False,False,,,False,,
bound water content,1,False,False,,,False,,
bound water fraction,1,False,False,,,False,,
bound water proportion (P2a),1,False,False,,,False,,
bound-water proportion,1,False,False,,,False,,
bulk density,15,True,False,physicochemical_property=14; functional_property=1,llm,True,high,Bulk density is consistently described as a measurable characteristic of the material's physical state.
calcium content,1,False,False,,,False,,
carbohydrate content,11,False,False,,,False,,
carbonyl content,7,False,False,,,False,,
carbonyl groups,1,False,False,,,False,,
carboxyl groups,1,False,False,,,False,,
cellulose content,1,False,False,,,False,,
changed physicochemical properties and structure,4,False,False,,,False,,
charge density and electrostatic repulsion,1,False,False,,,False,,
chemical stability,1,False,False,,,False,,
chemical yield,2,False,False,,,False,,
chloride content,1,False,False,,,False,,
citric acid concentration,1,False,False,,,False,,
coagulable protein content,3,False,False,,,False,,
coalescence,1,False,False,,,False,,
colloidal stability,2,False,False,,,False,,
conductivity,1,False,False,,,False,,
contact angle,1,False,False,,,False,,
contents of aldehydes and ketones,1,False,False,,,False,,
contents of alkanes and acids,1,False,False,,,False,,
copper content,1,False,False,,,False,,
correlation between solubility and zeta potential,1,False,False,,,False,,
critical micelle concentration,1,False,False,,,False,,
crude fat,1,False,False,,,False,,
crude fat content,6,False,False,,,False,,
crude fibre content,3,False,False,,,False,,
crude protein content,1,False,False,,,False,,
decomposition rate,1,False,False,,,False,,
degradation of ascorbic acid,1,False,False,,,False,,
degradation of total phenolic contents,1,False,False,,,False,,
degree of conjugation,5,False,False,,,False,,
degree of glycation,8,False,False,,,False,,
degree of glycosylation,4,False,False,,,False,,
degree of grafting,2,False,False,,,False,,
degree of hydrolysis,31,False,False,,,False,,
degree of phosphorylation,3,True,False,modification_method=2; physicochemical_property=1,llm,True,high,"The degree of phosphorylation describes a chemical state of the protein, not a process."
degree of succinylation,2,False,False,,,False,,
dehydration rate,2,False,False,,,False,,
denaturation temperature,31,True,False,structural_property=30; physicochemical_property=1,llm,True,high,"Denaturation temperature is a measure of the thermal stability of proteins, reflecting a physicochemical characteristic."
depletion flocculation,1,False,False,,,False,,
dietary fiber content,1,False,False,,,False,,
dispersion concentration,3,False,False,,,False,,
dissolution in simulated gastric fluid,1,False,False,,,False,,
dissolution in simulated intestinal fluid,1,False,False,,,False,,
droplet size,9,False,False,,,False,,
droplet size distribution,2,False,False,,,False,,
dry matter content,3,False,False,,,False,,
dry matter yield,2,False,False,,,False,,
edestin and albumin fractions,1,False,False,,,False,,
edestin concentration,2,False,False,,,False,,
