name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
"2,3-pentanedione, 3-heptanone, and 3,5-octadien-2-one relative content",1,False,False,,,False,,
2-Isobutyl-3-methoxypyrazine concentration,1,False,False,,,False,,
"2-hexenal, pentanal, (E, E)−2,4-Heptadienal, (E)−2-Pentenal, and (E)−2-Octenal",2,False,False,,,False,,
3-methyl-1-butanol content,1,False,False,,,False,,
3-methyl-1-butanol formation,1,False,False,,,False,,
Browning Index,1,False,False,,,False,,
C*,1,False,False,,,False,,
H*,1,False,False,,,False,,
L*,1,False,False,,,False,,
L* color value,2,False,False,,,False,,
L* value,7,False,False,,,False,,
a* and b* values,1,False,False,,,False,,
a* color value,2,False,False,,,False,,
a* value,1,False,False,,,False,,
acetaldehyde formation,1,False,False,,,False,,
alcohols,3,False,False,,,False,,
aldehyde compounds,1,False,False,,,False,,
aldehydes,4,False,False,,,False,,
"aldehydes possessing green odors, including hexanal",1,False,False,,,False,,
all categories of volatile compounds,1,False,False,,,False,,
astringency,1,False,False,,,False,,
"astringency, bitterness, and aftertaste",1,False,False,,,False,,
astringent flavor,1,False,False,,,False,,
b* color value,2,False,False,,,False,,
b* value,2,False,False,,,False,,
beany flavor volatile compounds,2,False,False,,,False,,
bitter flavor,1,False,False,,,False,,
bitter taste intensity,6,False,False,,,False,,
bitterness,5,False,False,,,False,,
brightness,1,False,False,,,False,,
brightness (L* value),3,False,False,,,False,,
browning intensity,5,False,False,,,False,,
cheesy aroma perception,2,False,False,,,False,,
chroma,8,False,False,,,False,,
cocoa-like aroma perception,2,False,False,,,False,,
color,10,False,False,,,False,,
color change,4,False,False,,,False,,
color intensity,3,False,False,,,False,,
color intensity on the blue-yellow scale (b∗),1,False,False,,,False,,
color intensity on the green-red scale (a∗),1,False,False,,,False,,
color lightness,2,False,False,,,False,,
color variation,1,False,False,,,False,,
coloring potential,2,False,False,,,False,,
colour parameters,1,False,False,,,False,,
colour values,1,False,False,,,False,,
crumb colour difference from control,1,False,False,,,False,,
crust colour difference from control,1,False,False,,,False,,
dark brownish color,1,False,False,,,False,,
distinct volatile compound profiles,1,False,False,,,False,,
distinct volatile flavor profiles,1,False,False,,,False,,
electronic-nose sensor response values,1,False,False,,,False,,
five beany flavor volatile components,1,False,False,,,False,,
flavor characteristics,1,False,False,,,False,,
flavour descriptor intensities associated with primary volatile compounds,2,False,False,,,False,,
gel opacity,2,False,False,,,False,,
greenness (-a* value),1,False,False,,,False,,
hedonic acceptance,5,False,False,,,False,,
hexanal,1,False,False,,,False,,
hexanal content,2,False,False,,,False,,
hexanal formation,1,False,False,,,False,,
hexanal level,1,False,False,,,False,,
hue,3,False,False,,,False,,
hue angle,1,False,False,,,False,,
intensity of green (-a*/b* value),1,False,False,,,False,,
ketone compound formation,1,False,False,,,False,,
ketone concentration,1,False,False,,,False,,
ketones,2,False,False,,,False,,
lightness,16,False,False,,,False,,
lightness (L* value),10,False,False,,,False,,
lightness (L∗),1,False,False,,,False,,
lightness and yellowness of protein isolate powders,1,False,False,,,False,,
lightness of protein isolates,1,False,False,,,False,,
luminosity,7,False,False,,,False,,
malty aroma perception,1,False,False,,,False,,
metallic taste,1,False,False,,,False,,
odor,1,False,False,,,False,,
odor substance compositions,1,False,False,,,False,,
off-flavor volatile compounds,1,False,False,,,False,,
opaque appearance,1,False,False,,,False,,
overall flavor profile,1,False,False,,,False,,
pea flavor,3,False,False,,,False,,
pea-like flavor,1,False,False,,,False,,
pea-like flavors and odors,1,False,False,,,False,,
pea-like odor,5,False,False,,,False,,
"pea-like, green bell pepper-like aroma perception",2,False,False,,,False,,
peak areas of volatile compounds,1,False,False,,,False,,
perceived off flavor,1,False,False,,,False,,
"popcorn-like, roasty aroma perception",3,False,False,,,False,,
redness,6,False,False,,,False,,
redness (a*),7,False,False,,,False,,
release of volatile compounds,1,False,False,,,False,,
saltiness intensity,1,False,False,,,False,,
salty flavor,1,False,False,,,False,,
salty taste intensity,2,False,False,,,False,,
sensory attributes,1,False,False,,,False,,
sensory evaluation score,4,False,False,,,False,,
sensory scores,2,False,False,,,False,,
sour odor intensity,1,False,False,,,False,,
sour taste intensity,1,False,False,,,False,,
sourness,1,False,False,,,False,,
sourness flavor,2,False,False,,,False,,
sweet odor intensity,1,False,False,,,False,,
total amount of volatile compounds,3,False,False,,,False,,
total color difference,1,False,False,,,False,,
total peak area of volatile compounds,4,False,False,,,False,,
total volatile concentration,2,False,False,,,False,,
types and contents of alcohols and esters,1,False,False,,,False,,
"types and contents of aldehydes, ketones, alcohols and esters",1,False,False,,,False,,
types of aldehydes,1,False,False,,,False,,
umami,2,False,False,,,False,,
undesirable flavors,2,False,False,,,False,,
volatile compound diversity,4,False,False,,,False,,
volatile compound intensity,1,False,False,,,False,,
volatile compound profile,1,False,False,,,False,,
volatile constituents,1,False,False,,,False,,
volatile odorants,1,False,False,,,False,,
volatile organic compounds,1,False,False,,,False,,
volatile organic compounds classes,1,False,False,,,False,,
whiteness,2,False,False,,,False,,
yellowness,5,False,False,,,False,,
yellowness (b*),5,False,False,,,False,,
ΔE (crumb),3,False,False,,,False,,
ΔE (crust),3,False,False,,,False,,
