name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
122 kDa protein component content,1,False,False,,,False,,
57 kDa protein component content,1,False,False,,,False,,
94 kDa polypeptide band intensity,1,False,False,,,False,,
Amide A band peak intensity,1,False,False,,,False,,
Amide B band peak intensity,1,False,False,,,False,,
Amide I band peak intensity,1,False,False,,,False,,
Amide I band position,2,False,False,,,False,,
Amide II band peak intensity,1,False,False,,,False,,
C-H absorption-peak intensity,1,False,False,,,False,,
Fourier Transform-Infrared peak intensity changes,1,False,False,,,False,,
O-H stretching peak wavenumber,1,False,False,,,False,,
O-H/N-H peak intensity,1,False,False,,,False,,
Schiff base formation,1,False,False,,,False,,
T21 relaxation time,2,False,False,,,False,,
T22 relaxation peak,1,False,False,,,False,,
T22 relaxation time,1,False,False,,,False,,
T23 relaxation peak,1,False,False,,,False,,
T23 relaxation time,1,False,False,,,False,,
T2b and T2b-1 peak areas,1,False,False,,,False,,
UV absorbance intensity,1,False,False,,,False,,
UV-vis absorption,3,False,False,,,False,,
X-ray diffraction peaks,1,False,False,,,False,,
absence of 7S denaturation temperature,1,False,False,,,False,,
absence of oily coatings on the proteins and starch matrix,1,False,False,,,False,,
absorbance intensity at 1743 cm−1,1,False,False,,,False,,
active sulfhydryl content,2,False,False,,,False,,
agglomeration and high stacking,1,False,False,,,False,,
aggregate dissociation,1,False,False,,,False,,
aggregate size and pore volume,1,False,False,,,False,,
aggregated structures,2,False,False,,,False,,
"aggregates of protein, fat, and starch matrix",2,False,False,,,False,,
aggregation,14,False,False,,,False,,
aggregation and cross-linking,1,False,False,,,False,,
aggregation and network formation,3,False,False,,,False,,
aggregation enthalpy,1,False,False,,,False,,
aggregation of conarachin I and conarachin II,1,False,False,,,False,,
aggregation of protein protofibrils into clusters,1,False,False,,,False,,
aggregation of whey protein isolate-apple pectin conjugates,2,False,False,,,False,,
aggregation peak temperature,1,False,False,,,False,,
aggregation temperature,2,False,False,,,False,,
